云南 治愈 2人
广西 新增 疑似患者 60人
海南 新增 疑似患者 95人
福建 新增 疑似患者 2人
辽宁 新增 疑似患者 72人
河南 新增 疑似患者 66人
青海 新增 疑似患者 24人
安徽 新增 感染患者 54人
福建 感染患者 流入 湖南 3人
河南 新增 感染患者 62人
河北 新增 疑似患者 96人
甘肃 新增 感染患者 23人
吉林 排除 疑似患者 4人
湖北 新增 感染患者 50人
吉林 新增 疑似患者 96人
天津 新增 疑似患者 99人
黑龙江 新增 疑似患者 4人
上海 新增 感染患者 84人
湖北 新增 感染患者 20人
湖北 疑似患者 流入 浙江 5人
江苏 新增 疑似患者 39人
辽宁 新增 疑似患者 52人
浙江 新增 疑似患者 52人
吉林 新增 感染患者 77人
青海 新增 疑似患者 94人
山东 新增 感染患者 15人
北京 新增 疑似患者 97人
河北 新增 感染患者 10人
西藏 新增 感染患者 66人
北京 治愈 6人
宁夏 新增 感染患者 47人
陕西 新增 感染患者 39人
台湾 新增 感染患者 5780人
江西 新增 疑似患者 96人
台湾 新增 疑似患者 20571人
贵州 新增 疑似患者 59人
山东 新增 感染患者 42人
湖南 新增 疑似患者 68人
贵州 新增 感染患者 65人
青海 感染患者 流入 辽宁 5人
江西 疑似患者 流入 内蒙古 1人
吉林 新增 疑似患者 32人
贵州 新增 感染患者 76人
黑龙江 新增 感染患者 22人
内蒙古 新增 疑似患者 31人
福建 新增 感染患者 62人
台湾 新增 感染患者 18375人
青海 感染患者 流入 北京 3人
天津 新增 感染患者 97人
河北 排除 疑似患者 8人
四川 新增 感染患者 61人
湖南 新增 疑似患者 18人
宁夏 感染患者 流入 内蒙古 2人
四川 新增 疑似患者 91人
山西 感染患者 流入 河南 6人
山西 新增 疑似患者 63人
青海 感染患者 流入 山西 3人
青海 新增 感染患者 72人
福建 新增 疑似患者 45人
山东 新增 疑似患者 76人
云南 新增 感染患者 60人
山西 新增 感染患者 35人
香港 新增 感染患者 79人
西藏 新增 疑似患者 3人
西藏 新增 疑似患者 63人
云南 新增 疑似患者 35人
吉林 新增 感染患者 50人
河南 新增 疑似患者 76人
江苏 新增 疑似患者 47人
陕西 新增 疑似患者 91人
海南 新增 感染患者 43人
黑龙江 新增 疑似患者 39人
北京 新增 疑似患者 23人
云南 新增 疑似患者 63人
香港 新增 感染患者 10人
陕西 死亡 6人
黑龙江 新增 疑似患者 53人
重庆 新增 疑似患者 63人
山东 死亡 5人
江苏 新增 疑似患者 70人
陕西 新增 感染患者 93人
山西 新增 疑似患者 96人
新疆 新增 感染患者 59人
山东 新增 疑似患者 48人
甘肃 新增 感染患者 12人
河南 新增 疑似患者 69人
西藏 新增 疑似患者 16人
山东 新增 疑似患者 42人
上海 治愈 1人
福建 疑似患者 流入 湖北 2人
江苏 新增 疑似患者 27人
西藏 新增 疑似患者 52人
江西 新增 疑似患者 56人
台湾 新增 感染患者 10486人
贵州 新增 感染患者 50人
海南 新增 感染患者 50人
新疆 新增 感染患者 13人
辽宁 感染患者 流入 贵州 6人
河南 新增 疑似患者 31人
广东 新增 感染患者 65人
宁夏 新增 感染患者 63人
安徽 新增 感染患者 35人
甘肃 新增 感染患者 68人
湖南 新增 疑似患者 76人
内蒙古 新增 感染患者 85人
广东 新增 感染患者 93人
西藏 疑似患者 确诊感染 8人
吉林 新增 感染患者 94人
重庆 新增 感染患者 37人
辽宁 新增 疑似患者 73人
山东 新增 感染患者 74人
福建 死亡 5人
宁夏 新增 疑似患者 25人
甘肃 新增 感染患者 13人
广东 新增 疑似患者 22人
新疆 新增 感染患者 65人
湖北 新增 感染患者 76人
北京 新增 疑似患者 82人
浙江 新增 疑似患者 58人
湖南 新增 疑似患者 83人
江西 新增 疑似患者 44人
内蒙古 新增 感染患者 55人
辽宁 新增 感染患者 82人
河南 新增 疑似患者 50人
浙江 新增 疑似患者 86人
内蒙古 疑似患者 流入 青海 1人
广东 新增 感染患者 68人
湖南 新增 感染患者 81人
山东 新增 感染患者 28人
辽宁 新增 感染患者 93人
甘肃 新增 感染患者 31人
四川 新增 感染患者 52人
河北 新增 疑似患者 6人
山西 新增 感染患者 78人
海南 新增 疑似患者 0人
江西 新增 疑似患者 8人
新疆 新增 感染患者 60人
陕西 新增 疑似患者 15人
广西 死亡 3人
浙江 新增 疑似患者 21人
云南 新增 感染患者 88人
山西 新增 感染患者 26人
浙江 新增 感染患者 52人
宁夏 新增 疑似患者 22人
山西 新增 疑似患者 36人
海南 新增 疑似患者 66人
海南 新增 疑似患者 61人
河北 新增 疑似患者 40人
河南 新增 疑似患者 65人
湖南 死亡 4人
黑龙江 新增 疑似患者 65人
台湾 新增 感染患者 17314人
山西 新增 疑似患者 40人
山东 新增 感染患者 86人
香港 新增 疑似患者 56人
山西 新增 疑似患者 33人
西藏 新增 感染患者 30人
天津 新增 疑似患者 34人
新疆 新增 感染患者 59人
内蒙古 新增 感染患者 6人
甘肃 疑似患者 流入 重庆 8人
陕西 新增 感染患者 86人
河南 新增 疑似患者 45人
青海 新增 疑似患者 56人
甘肃 新增 疑似患者 25人
福建 新增 感染患者 18人
甘肃 新增 疑似患者 47人
上海 新增 疑似患者 14人
香港 新增 感染患者 83人
浙江 排除 疑似患者 1人
陕西 新增 感染患者 97人
河南 新增 感染患者 85人
江苏 治愈 3人
贵州 死亡 1人
山东 新增 疑似患者 53人
北京 新增 疑似患者 73人
吉林 新增 感染患者 79人
